"ลำดับ ","ชื่อบริษัทจัดหางาน (ไทย) ","ชื่อบริษัทจัดหางาน (อังกฤษ) ","ชื่อผู้รับอนุญาต (ไทย) ","ชื่อผู้รับอนุญาต (อังกฤษ) ",เลขที่ใบอนุญาต,เลขที่ใบอนุญาต (อังกฤษ),"ที่อยู่ (ไทย) ","ที่อยู่ (อังกฤษ) ","โทรศัพท์ ","แฟ็กซ์ ","อีเมล/เว็บไซต์ ","หมายเหตุ "
42,เอสพีที ซัพพลาย อินเตอร์เนชั่นแนล จำกัด,"SPT SUPPLY INTERNATIONAL MANPOWER CO.,LTD.",นางสุจิตรา ลาภธีรวุฒิ,Mrs. Sujittra Laptheerawut,ต.1069/2546,Tor 1069/2546,104/12 ซอยขุมทรัพย์นคร ถนนพุทธมณฑลสาย 3 แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10230,"104/12, Soi Khumsapnakhon, Phutthamonthon Sai 3 Road, Salatharmmasop Sub-district, Thawiwatthana District, Bangkok,",02-441-4611,-,-,-
43,แม่บ้านฮ่องกง จำกัด,"HONG KONG MAID EMPLOYMENT CO.,LTD.",นายสกนธ์กาณฑ์ คำภา,Mr. Sakonkan Khampha,ต.1070/2546,Tor 1070/2546,68-70 ถ.สุทธิสารวินิจฉัย แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,"68-70 Sutthisanvinitchai Road, Samsennai Sub-district, Phayathai District, Bangkok,",02-615-4300 - 2,02-615-4303,hkmaidth@hotmail.com,-
44,รุ่งชีวิน จำกัด,"RUNGCHEEWIN RECRUITMENT CO.,LTD",นายกำธร ชีวินจรุงพนา,Mr. Kamthon Cheewinjarungpana,ต.1071/2546,Tor 1071/2546,319 ซ.ร่มเกล้า 58 หมู่บ้านรุ่งกิจวิลล่า 9 แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร 10520,"319 Soi Romklao 58, Klongsampravet Sub-district, Latkrabang District, Bangkok,",02-360-8280-3,02-360-8279,rung313@hotmail.com,-
45,ไทยดีเลิศ เอ็นเตอร์ไพรส์ จำกัด,"THAI DEE LEARD EMTERPRISE MANPOWER CO.,LTD.",นายชาตรี มุ่งมั่นวิริยหาร,Mr.Chatree Mungmanviriyahan,ต.1076/2547,Tor 1076/2547,49/120-121 ม.2 ซ.ต้นแทน ถ.แจ้งวัฒนะ ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120,"49/120-121 Mu 2, Soi Tonthaen, Jaengwattana Road, Bangtalard Sub-district, Pakkret District, Nonthaburi Province,","02-9622301-2, 089-636-0685, 081-839-9648",-,tdle@asianet.co.th,-
46,จูงไข อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,"JUNGKAI INTERMATIONAL (THAILAND) CO.,LTD.",นายธีร์ธนิต เจียงธนไพศาล,Mr. Titanit Jiangtanapaisal,ต.1088/2548,Tor. 1088/2548,889/15 ซ.หมู่บ้านภาณุช ถ.ประชาราษฎร์บำเพ็ญ 26 แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,"889/15 Soi Mubanphanut, Pracharadbamphen 26 Road, Samsennok Sub-district, Huaykwang District, Bangkok,","02-691-6891-2, 086-8276515",02-691-6893,"jungkai@truemail.co.th, thajunkai@hotmail.com",-
47,ที.เอ็น.วาย. ไทรนิตี้ จำกัด,"T.N.Y.TRINITY MANPOWER CO., LTD.",นางสาวกฤษณา แซ่ย่าง,Miss Kridsana Sae-Yang,ต.1089/2548,Tor. 1089/2548,1213/378 หมู่บ้านศรีวราทาวน์อิน ทาวน์ ซ.ลาดพร้าว 94 (ปัญจมิตร) ถ.ลาดพร้าว แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,"1213/378 Mooban Sriwara Town in Town, Soi Ladprao 94 (Phanjamith), Ladprao Road, Wangthonglang Sub-district, Wangthonglang District, Bangkok,",02-559-2359 / 02-530-8152,02-530-7922,-,-
48,บานซิง จำกัด,"BANSING MANPOWER CO.,LTD.",นายชาย อย่างรวย,Mr. Chai Yangruay,ต.1092/2548,Tor 1092/2548,41/349 ม.12 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230,"41/349 Mu 12, Klongkum Sub-district, Buengkum District, Bangkok,",02-363-4318-21,02-363-4322,bangsing726@hotmail.com,-
49,เจ.แอล.เอเจนซี่ จำกัด,"J.L. AGENCY RECRUITMENT CO.,LTD.",นายวรพล แซ่โจว,Mr. Vorapol Saejow,ต.1093/2548,Tor 1093/2548,111/2-3 ม.1 ตําบลบึงยี่โถ อําเภอธัญบุรี จังหวัดปทุมธานี 12130,"111/2-3, Moo 1, Bengyeto Sub-district, Thanyaburi District, Phathumthani Province,",02-577-2113,-,-,-
50,ทีเจ ดับเบิ้ล พลัส จำกัด,"TJ DOUBLR PLUS RECRUITMENT CO.,LTD",นายธวัชชัย เพฑูรย์สิทธิชัย,Mr.Thawatchai Patoonsittichai,ต.1099/2549,Tor 1099/2549,9 ซอยบางนา-ตราด 19 แยก 12 แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,"9 Soi Bangna-Trad 19, Intersection 12, Bangna Nuea Subdistrict, Bangna District, Bangkok","02-737-6802-3, 063-1945689",02-737-6804,-,-
51,หมิงเซิ่ง อินเตอร์เนชั่นแนล เซอร์วิส จำกัด,"MINGSENG INTERNATIONAL MANPOWER SERVICE CO.,LTD.",นายจื๋อ-เหว่ย ชิว,Mr. Tzu-wei Chiu,ต.1101/2549,Tor 1101/2549,56/40 ซอยนวมินทร์ 70 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230,-,02-988-9280-1 / 02-988-9258,02-988-9259,mingseng@msn.com,เพิกถอนตามคำสั่งนายทะเบียนจัดหางานกลางที่ 3/2568
